,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
71,72,41,-0.04310021529272859,43.81446280991736,12.014172303344655,23,-0.026710188207514425,25.55592286501378,10.04270991361214
72,73,41,-0.02639766650461848,43.03732782369148,11.83708269003154,24,-0.012125842072366165,25.071487603305794,9.56152127412946
73,74,42,0.018358913813459294,41.282644628099185,11.331567048061176,25,0.0419161052850892,22.81432506887053,8.647917934036927
74,75,42,0.01926175428849223,41.21225895316805,11.897175594015831,25,0.012723105771234216,24.74297520661157,9.32602755282046
75,76,41,-0.027363011320230654,43.194765840220406,12.882620259943426,24,0.0002257101187582804,24.678236914600554,9.719421632110887
76,77,41,-0.01665740676435868,42.66611570247936,12.163564893745987,23,0.0065907354677408264,23.457851239669427,9.746061475576393
77,78,40,-0.03661712618931879,42.80371900826448,12.580538859015272,23,0.004087089381207076,23.448484848484853,9.773739324954235
78,79,43,-0.05492048058892995,46.417768595041345,11.266556444524078,25,-0.04715952496701165,28.630991735537197,8.769372312560488
79,80,43,-0.07297729008958947,47.87548209366391,11.48395543760934,26,-0.016629627057434537,27.647796143250698,7.77789999237047
80,81,44,-0.03628376970622962,46.85055096418733,11.908471550869624,26,-0.002944648933953865,27.058539944903597,8.619094820119297
81,82,44,-0.09325994860754236,49.64063360881545,11.728007011397281,26,-0.02458851309118689,27.988016528925623,8.967694119177242
82,83,45,-0.09740259740259732,50.97878787878789,12.248809465957633,27,-0.04564553093964869,29.924242424242436,8.700329205916088
83,84,46,-0.10820890339606913,53.07176308539946,11.638052143854711,27,-0.030686158761025015,29.317493112947663,8.94990336864724
84,85,47,-0.09339537467879729,53.040358126721785,12.8186991391111,28,-0.04408986735189942,31.44834710743803,9.367979163802906
85,86,48,-0.07880061115355236,53.463636363636375,13.512809049319142,29,-0.03418292937009523,31.38388429752068,9.045775280216066
86,87,48,-0.017501215362178017,49.0913223140496,13.255631433691962,29,0.006726161538995814,29.141460055096427,9.421855366296883
87,88,49,-0.001802208486700673,49.2322314049587,13.119081298537907,29,0.038686714355163604,27.439807162534443,9.167439488685567
88,89,49,0.025390652128620142,48.07258953168044,12.463447958490681,31,0.004104451698034605,31.022451790633617,8.713684141425292
89,90,48,-0.013164108618654066,49.32493112947661,12.385201140187963,31,0.003069657615112199,30.900688705234167,8.081084182745988
